i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
74,1.252556955,0.023726013,0.009220874,0.009220874,0.006568702,0.712373051,139.2098089,1.977816774,0.000130683
75,1.253389625,0.024354969,0.009351693,0.009351693,0.006833952,0.730771637,140.6414825,2.027609056,0.000130819
76,1.254218203,0.024991493,0.009482647,0.009482647,0.00710606,0.749375159,142.0617167,2.077892758,0.000130954
77,1.255042734,0.025635551,0.009613735,0.009613735,0.007385102,0.768182373,143.4705279,2.128662753,0.000131088
78,1.255863259,0.02628711,0.009744955,0.009744955,0.007671151,0.787192032,144.8679321,2.179913899,0.000131221
79,1.256679819,0.026946137,0.009876308,0.009876308,0.007964283,0.806402884,146.2539453,2.231641047,0.000131353
80,1.257492456,0.027612598,0.010007792,0.010007792,0.008264571,0.825813674,147.628583,2.283839034,0.000131484
81,1.258301209,0.028286457,0.010139406,0.010139406,0.008572089,0.84542314,148.9918608,2.336502691,0.000131614
82,1.259106119,0.02896768,0.01027115,0.01027115,0.008886908,0.865230018,150.343794,2.389626835,0.000131744
83,1.259907224,0.029656233,0.010403023,0.010403023,0.0092091,0.885233039,151.6843978,2.443206277,0.000131873
84,1.260704563,0.03035208,0.010535023,0.010535023,0.009538736,0.905430931,153.0136874,2.497235821,0.000132001
85,1.261498174,0.031055185,0.010667151,0.010667151,0.009875888,0.925822415,154.3316779,2.551710258,0.000132128
86,1.262288093,0.031765513,0.010799405,0.010799405,0.010220624,0.946406213,155.6383844,2.606624375,0.000132254
87,1.263074359,0.032483027,0.010931785,0.010931785,0.010573015,0.967181038,156.9338219,2.661972951,0.00013238
88,1.263857006,0.033207692,0.011064289,0.011064289,0.010933128,0.988145602,158.2180055,2.717750759,0.000132504
89,1.26463607,0.033939469,0.011196917,0.011196917,0.011301033,1.009298613,159.4909502,2.773952563,0.000132628
90,1.265411587,0.034678323,0.011329669,0.011329669,0.011676796,1.030638777,160.7526713,2.830573125,0.000132752
91,1.266183592,0.035424216,0.011462543,0.011462543,0.012060484,1.052164793,162.0031839,2.887607198,0.000132874
92,1.266952117,0.036177111,0.011595539,0.011595539,0.012452163,1.073875359,163.2425034,2.945049533,0.000132996
